id	label	sentence	pos
389	0	However , those days were unforgettable for me .	RB , DT NNS VBD JJ IN PRP . 
1	0	The tower is absolutely marvellous .	DT NN VBZ RB JJ . 
605	1	I was draged to learn sailing .	PRP VBD VBN TO VB VBG . 
561	1	Thank you and greetings .	VBP PRP CC NNS . 
80	0	Every statement was wrong .	DT NN VBD JJ . 
205	0	I liked seeing their way of life .	PRP VBD VBG PRP$ NN IN NN . 
34	0	Or would our house itself be alive ?	CC MD PRP$ NN PRP VBZ JJ . 
508	1	Teacher are helping students with their problems .	NN VBP VBG NNS IN PRP$ NNS . 
427	0	I have been learning to paint .	PRP VBP VBN VBG TO VB . 
454	1	Which clothes should we take with us ?	WDT NNS MD PRP VB IN PRP . 
366	0	Dear Mrs Ryan ,	JJ NNP NNP . 
91	0	What should I say to you about home ...	WP MD PRP VBP IN PRP IN NN . 
339	0	It was not Danny on the stage !	PRP VBD RB NNP IN DT NN . 
564	1	Could you believe my luck ?	MD PRP VB PRP$ NN . 
345	0	I am quite good at tennis .	PRP VBP RB JJ IN NN . 
241	0	I especially liked that time .	PRP RB VBD DT NN . 
13	0	The quality of life is very low .	DT NN IN NN VBZ RB JJ . 
315	0	It 's great to hear from you !	PRP VBZ JJ TO VB IN PRP . 
600	1	waist of time .	NN IN NN . 
387	0	To my surprise , it was closed .	IN PRP$ NN , PRP$ VBD JJ . 
273	0	And of course technology is also changing .	CC RB RB NN VBZ RB VBG . 
166	0	Another one appeared in the show .	DT PRP VBD IN DT NN . 
643	1	Are you a science fiction histories lover ?	VBP PRP DT NN NN NNS NN . 
484	1	I 'm looking forward to hearing you again .	PRP VBP VBG RB IN VBG PRP RB . 
633	1	We 're sorry to give you trouble .	PRP VBP JJ TO VB PRP NN . 
504	1	Perhaps , he moved into another town .	RB , PRP VBD IN DT NN . 
243	0	Yesterday was Valentine 's day here in Portugal .	NN VBD NNP POS NNP RB IN NNP . 
566	1	Than you for reading .	VB PRP IN VBG . 
562	1	I hope you find my opinion useful .	PRP VBP PRP VBP PRP$ NN JJ . 
189	0	What more do you want ?	WP JJR VBP PRP VB . 
475	1	So I am quite confident with this .	RB PRP VBP RB JJ IN DT . 
510	1	- before you request a job .	HYPH IN PRP VBP DT NN . 
58	0	I 'm a beginner at both activities .	PRP VBP DT NN IN DT NNS . 
474	1	Your faithfully	PRP$ RB 
560	1	I can sing a plenty of songs .	PRP MD VB DT NN IN NNS . 
252	0	Taking pictures is a new experience for me .	VBG NNS VBZ DT JJ NN IN PRP . 
21	0	I was part of the staff .	PRP VBD NN IN DT NN . 
313	0	The building was built in 1999 .	DT NN VBD VBN IN CD . 
459	1	Maybe some peoples are nakid .	RB DT NNS VBP JJ . 
160	0	Fashion changes every year .	NN VBZ DT NN . 
276	0	She was absolutely beautiful .	PRP VBD RB JJ . 
191	0	Do I need to take very many clothes ?	VBP PRP VB TO VB RB JJ NNS . 
385	0	I would like to ask about money .	PRP MD VB TO VB IN NN . 
413	0	I was very nervous .	PRP VBD RB JJ . 
491	1	That was so uncomfortable , people was starving .	DT VBD RB JJ , NNS VBD VBG . 
343	0	I believed everything she told me .	PRP VBD NN PRP VBD PRP . 
308	0	My favourite sports are climbing and surfing .	PRP$ JJ NNS VBP NN CC NN . 
130	0	In addition , admission for students is free .	IN NN , NN IN NNS VBZ JJ . 
99	0	Everything in this room is connected with wine .	NN IN DT NN VBZ VBN IN NN . 
372	0	God bless the person who invented the Internet !	NNP VB DT NN WP VBD DT NN . 
87	0	It becomes a life and death struggle .	PRP VBZ DT NN CC NN NN . 
458	1	I enjoyed the festival pretty much .	PRP VBD DT NN RB RB . 
330	0	A lot of circumstances will arise .	DT NN IN NNS MD VB . 
214	0	I hope to hear from you soon	PRP VBP TO VB IN PRP RB 
466	1	After concert I left with Ricky Martin .	IN NN PRP VBD IN NNP NNP . 
121	0	I 've been busy preparing for English exams .	PRP VBP VBN JJ VBG IN NNP NNS . 
614	1	I have a big news .	PRP VBP DT JJ NNS . 
20	0	But the party was great after all .	CC DT NN VBD JJ RB RB . 
71	0	Actually I ca n't swim at all .	RB PRP MD RB VBG IN DT . 
106	0	I am thankful to modern technology !	PRP VBP JJ IN JJ NN . 
270	0	After all these problems I became disappointed	IN PDT DT NNS PRP VBD JJ 
435	0	I look forward to hearing from you .	PRP VBP RB IN VBG IN PRP . 
102	0	I hope that you liked my experience .	PRP VBP IN PRP VBD PRP$ NN . 
